2026-04-19 21:21:43,806 - INFO - code000423.SZ,dateBegin:2019-03-18 00:00:00,buyPrice:39.79,endDate:20190430,endPrice:36.32.result:lose
2026-04-19 21:21:43,975 - INFO - code:000425.SZ,dateBegin:2024-03-01 00:00:00,buyPrice:5.76,endDate:20240408,endPrice:6.36.result:win
2026-04-19 21:21:44,393 - INFO - code000426.SZ,dateBegin:1997-01-10 00:00:00,buyPrice:2.29,endDate:20010731,endPrice:2.08.result:lose
2026-04-19 21:21:44,675 - INFO - code000428.SZ,dateBegin:2015-10-20 00:00:00,buyPrice:7.92,endDate:20151021,endPrice:7.47.result:lose
2026-04-19 21:21:45,060 - INFO - code000429.SZ,dateBegin:1998-09-24 00:00:00,buyPrice:2.77,endDate:20010731,endPrice:2.58.result:lose
2026-04-19 21:21:45,430 - INFO - code000430.SZ,dateBegin:2002-06-22 00:00:00,buyPrice:6.21,endDate:20020805,endPrice:5.89.result:lose
2026-04-19 21:21:45,767 - INFO - code:000488.SZ,dateBegin:2007-03-15 00:00:00,buyPrice:3.57,endDate:20070406,endPrice:3.94.result:win
2026-04-19 21:21:46,077 - INFO - code:000498.SZ,dateBegin:2003-11-16 00:00:00,buyPrice:2.4,endDate:20031217,endPrice:2.74.result:win
2026-04-19 21:21:46,310 - INFO - code:000501.SZ,dateBegin:2021-03-04 00:00:00,buyPrice:10.67,endDate:20210324,endPrice:11.96.result:win
2026-04-19 21:21:46,655 - INFO - code000503.SZ,dateBegin:2005-09-22 00:00:00,buyPrice:5.66,endDate:20050927,endPrice:5.18.result:lose
2026-04-19 21:21:47,095 - INFO - code000504.SZ,dateBegin:2000-09-08 00:00:00,buyPrice:11.16,endDate:20010730,endPrice:10.44.result:lose
2026-04-19 21:21:47,340 - INFO - code:000505.SZ,dateBegin:2015-09-19 00:00:00,buyPrice:6.74,endDate:20151009,endPrice:7.56.result:win
2026-04-19 21:21:47,830 - INFO - code000506.SZ,dateBegin:1997-06-21 00:00:00,buyPrice:8.17,endDate:20010917,endPrice:7.55.result:lose
2026-04-19 21:21:48,206 - INFO - code000507.SZ,dateBegin:2009-09-13 00:00:00,buyPrice:3.25,endDate:20090925,endPrice:3.07.result:lose
2026-04-19 21:21:48,676 - INFO - code000509.SZ,dateBegin:1994-09-19 00:00:00,buyPrice:3.71,endDate:20010726,endPrice:3.51.result:lose
2026-04-19 21:21:48,889 - INFO - code:000510.SZ,dateBegin:2020-07-12 00:00:00,buyPrice:4.73,endDate:20200715,endPrice:5.39.result:win
2026-04-19 21:21:49,073 - INFO - code000513.SZ,dateBegin:2023-04-21 00:00:00,buyPrice:32.91,endDate:20230426,endPrice:31.19.result:lose
2026-04-19 21:21:49,297 - INFO - code000514.SZ,dateBegin:2020-11-29 00:00:00,buyPrice:3.89,endDate:20201224,endPrice:3.66.result:lose
2026-04-19 21:21:49,716 - INFO - code000516.SZ,dateBegin:1996-12-22 00:00:00,buyPrice:0.92,endDate:20010730,endPrice:0.83.result:lose
2026-04-19 21:21:49,995 - INFO - code000517.SZ,dateBegin:2014-02-21 00:00:00,buyPrice:1.14,endDate:20140311,endPrice:1.07.result:lose
2026-04-19 21:21:50,387 - INFO - code000518.SZ,dateBegin:1998-01-15 00:00:00,buyPrice:2.82,endDate:20010731,endPrice:2.66.result:lose
2026-04-19 21:21:50,572 - INFO - code000519.SZ,dateBegin:2023-04-03 00:00:00,buyPrice:22.71,endDate:20230411,endPrice:21.37.result:lose
2026-04-19 21:21:50,873 - INFO - code000520.SZ,dateBegin:2008-05-01 00:00:00,buyPrice:10.04,endDate:20080526,endPrice:9.49.result:lose
2026-04-19 21:21:51,215 - INFO - code000521.SZ,dateBegin:2006-04-13 00:00:00,buyPrice:1.29,endDate:20060424,endPrice:1.22.result:lose
2026-04-19 21:21:51,622 - INFO - code000523.SZ,dateBegin:1994-02-28 00:00:00,buyPrice:4.59,endDate:20010730,endPrice:4.19.result:lose
2026-04-19 21:21:51,842 - INFO - code:000524.SZ,dateBegin:2020-06-29 00:00:00,buyPrice:6.02,endDate:20200708,endPrice:6.64.result:win
2026-04-19 21:21:52,238 - INFO - code000525.SZ,dateBegin:1996-10-17 00:00:00,buyPrice:6.09,endDate:20010806,endPrice:5.67.result:lose
